,Year,quarter,ukos,mode,country,purpose,package,Age,Sex,duration,visits,nights,expend,sample
254,2022,2,1,1,14,1,1,5,1,1,2433.843,6084.609,991791.206,2
255,2022,2,1,1,14,1,1,5,1,2,7202.577,37424.092,5200814.784,4
256,2022,2,1,1,14,1,1,5,2,2,2022.189,9042.052,1284810.54,2
257,2022,2,1,1,14,1,1,6,1,2,577.394,2309.574,404175.474,1
258,2022,2,1,1,14,1,1,6,2,2,2365.725,9462.902,544116.849,1
259,2022,2,1,1,14,1,1,7,1,2,1374.154,5496.615,549661.538,1
260,2022,2,1,1,14,1,1,7,2,2,1068.892,5344.458,534445.819,1
261,2022,2,1,1,14,1,1,9,1,1,577.394,1732.181,184765.931,1
262,2022,2,1,1,14,1,2,1,1,2,2365.725,9462.902,723911.982,1
263,2022,2,1,1,14,1,2,2,2,2,2413.436,11505.780,871186.662,2
264,2022,2,1,1,14,1,2,3,1,1,1460.305,4380.915,410345.719,1
265,2022,2,1,1,14,1,2,3,1,2,2433.843,13386.139,1017346.562,2
266,2022,2,1,1,14,1,2,3,2,1,2365.725,4731.451,887147.036,1
267,2022,2,1,1,14,1,2,3,2,2,2365.725,9462.902,707351.904,1
268,2022,2,1,1,14,1,2,4,2,1,609.519,1828.556,129217.978,1
269,2022,2,1,1,14,1,2,5,1,1,953.297,2859.891,568165.084,1
270,2022,2,1,1,14,1,2,5,2,1,1460.305,4380.915,349012.907,1
271,2022,2,1,1,14,1,2,6,1,1,454.171,1362.513,88109.181,1
272,2022,2,1,1,14,1,2,7,1,2,402.425,1609.701,148092.486,1
273,2022,2,1,1,14,1,2,7,2,2,2403.834,14328.744,998980.89,3
274,2022,2,1,1,14,2,1,3,1,2,1419.435,7097.176,965215.975,1
275,2022,2,1,1,14,2,1,4,1,1,2026.755,5642.848,1786863.898,4
276,2022,2,1,1,14,2,2,4,1,2,454.171,2270.855,174401.678,1
277,2022,2,1,1,14,4,1,1,1,2,1711.843,9168.736,101789.634,2
278,2022,2,1,1,14,4,1,2,1,2,4731.451,33120.156,1173399.813,2
279,2022,2,1,1,14,4,1,2,2,1,313.110,626.220,31310.989,1
280,2022,2,1,1,14,4,1,2,2,2,5862.150,36163.821,765467.774,5
281,2022,2,1,1,14,4,1,3,1,1,1216.922,3650.765,608460.862,1
282,2022,2,1,1,14,4,1,3,1,2,2775.663,14931.574,388333.01,3
283,2022,2,1,1,14,4,1,3,1,3,1419.435,29808.140,709717.629,1
284,2022,2,1,1,14,4,1,3,2,2,2661.001,19418.981,502355.085,3
285,2022,2,1,1,14,4,1,3,2,3,1852.036,25928.503,1852035.953,1
286,2022,2,1,1,14,4,1,4,1,2,2879.740,27459.707,441306.061,2
287,2022,2,1,1,14,4,1,4,1,3,4129.445,64909.405,500899.313,2
288,2022,2,1,1,14,4,1,4,2,2,3506.446,27967.279,1760640.465,3
289,2022,2,1,1,14,4,1,4,2,3,2365.725,61508.861,828003.901,1
290,2022,2,1,1,14,4,1,5,2,2,4708.146,27588.505,1787898.317,3
291,2022,2,1,1,14,4,1,6,1,2,953.297,4766.486,171593.482,1
292,2022,2,1,1,14,4,1,7,1,2,1216.922,15819.982,273807.388,1
293,2022,2,1,1,14,4,2,1,1,2,609.519,6095.188,81065.996,1
294,2022,2,1,1,14,4,2,3,2,2,1102.325,7716.273,625018.077,1
295,2022,2,1,1,14,4,2,6,1,1,561.400,1122.800,362664.432,1
296,2022,2,1,1,15,1,1,1,2,2,2282.929,18263.433,884077.729,2
297,2022,2,1,1,15,1,1,2,1,2,5278.875,21115.500,791831.26,1
298,2022,2,1,1,15,1,1,2,2,2,1029.547,7206.832,823637.924,1
299,2022,2,1,1,15,1,1,3,1,2,5245.444,36718.106,2287346.662,4
300,2022,2,1,1,15,1,1,3,2,2,10033.270,64198.799,4015873.814,9
301,2022,2,1,1,15,1,1,3,2,3,647.814,9069.398,647814.111,1
302,2022,2,1,1,15,1,1,4,1,2,19196.827,111136.853,8017046.21,7
303,2022,2,1,1,15,1,1,4,2,2,1356.293,14919.228,892441.1,1
304,2022,2,1,1,15,1,1,5,1,2,11216.095,77667.702,8111874.408,6
305,2022,2,1,1,15,1,1,5,1,3,1068.892,17102.266,1015447.057,1
306,2022,2,1,1,15,1,1,5,2,2,4218.888,38070.689,2400927.419,4
